cleanup_id,zone,state,country,gps,cleanup_type,cleanup_date,group_name,adults,children,people,pounds,number_of_bags,cigarette_butts,food_wrappers_candy_chips_etc,take_out_away_containers_plastic,take_out_away_containers_foam,bottle_caps_plastic,bottle_caps_metal,lids_plastic,straws_stirrers,forks_knives_spoons,beverage_bottles_plastic,beverage_bottles_glass,beverage_cans,grocery_bags_plastic,other_plastic_bags,paper_bags,cups_plates_paper,cups_plates_plastic,cups_plates_foam,fishing_buoys_pots_traps,fishing_net_pieces,fishing_line_1_yard_meter_1_piece,rope_1_yard_meter_1_piece,x6_pack_holders,other_plastic_foam_packaging,other_plastic_bottles_oil_bleach_etc,strapping_bands,tobacco_packaging_wrap,beverages_sachets,appliances_refrigerators_washers_etc,balloons,cigar_tips,cigarette_lighters,construction_materials,fireworks,tires,toys,e_cigarettes,other_tobacco_packaging_lighter_etc,condoms,diapers,syringes,tampons_tampon_applicators,gloves_masks_ppe,foam_dock_pieces,electronic_waste_phones_batteries,cotton_bud_sticks_swabs,clothing_shoes
101445,"Humboldt County, CA, USA","California, USA",United States,"40.695740954698, -124.27664512569",beach,2016-09-17,NEC CCD 2016,3,18,21,75,5,105,115,2,3,42,8,17,8,12,22,11,24,21,8,NA,NA,11,4,3,NA,3,3,NA,29,NA,5,2,NA,NA,NA,2,6,5,3,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
101446,"Humboldt County, CA, USA","California, USA",United States,"41.066334437348, -124.1507112699",beach,2016-09-17,NEC CCD 2016,12,0,12,50,8,248,132,11,NA,25,8,20,6,1,7,22,11,11,23,1,1,2,1,NA,1,NA,4,NA,3,1,NA,2,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
101447,"Humboldt County, CA, USA","California, USA",United States,"40.943168410322, -124.11932541551",beach,2016-09-17,NEC CCD 2016,5,1,6,50,5,300,40,NA,NA,15,3,5,10,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101442,"Humboldt County, CA, USA","California, USA",United States,"40.858226438345, -124.16788809446",beach,2016-09-17,NEC CCD 2016,8,0,8,25,1,3,6,2,NA,1,NA,4,3,NA,5,NA,1,1,3,NA,NA,NA,NA,1,NA,NA,10,NA,20,NA,NA,NA,NA,NA,NA,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101612,"Humboldt County, CA, USA","California, USA",United States,"40.805872108861, -124.20103931108",beach,2016-09-17,NEC CCD 2016,2,0,2,25,1,11,4,NA,NA,6,2,6,2,NA,NA,1,6,NA,NA,NA,6,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101610,"Humboldt County, CA, USA","California, USA",United States,"40.808603423768, -124.19932630327",beach,2016-09-17,NEC CCD 2016,2,0,2,22,8,73,65,NA,3,25,18,10,3,NA,11,24,12,2,9,NA,2,1,NA,1,NA,1,NA,NA,5,1,NA,3,NA,NA,NA,NA,2,4,9,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
101605,"Humboldt County, CA, USA","California, USA",United States,"41.028728447655, -124.11186167363",beach,2016-09-17,NEC CCD 2016,9,0,9,15,1,126,46,4,1,14,12,13,23,4,4,11,8,6,4,NA,8,2,NA,NA,1,NA,5,1,5,NA,NA,9,NA,NA,1,1,NA,12,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
101608,"Humboldt County, CA, USA","California, USA",United States,"40.80231315633, -124.11921953158",beach,2016-09-17,NEC CCD 2016,11,0,11,15,3,25,8,NA,2,9,3,NA,NA,NA,4,6,3,7,2,NA,3,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5165,"Humboldt County, CA, USA","California, USA",United States,"40.59839, -124.15678",beach,2016-09-17,Table Bluff County Beach,7,0,7,150,NA,200,11,3,2,25,NA,1,2,1,13,7,12,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5224,"Humboldt County, CA, USA","California, USA",United States,"40.76924, -124.21709",beach,2016-09-17,USCG,12,0,12,38.69,NA,100,30,5,6,16,NA,5,10,NA,28,50,25,35,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5129,"Humboldt County, CA, USA","California, USA",United States,"40.64339, -124.30376",beach,2016-09-17,NA,1,0,1,9.5,NA,1,9,1,NA,7,NA,NA,NA,1,7,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4796,"Humboldt County, CA, USA","California, USA",United States,"40.99409, -124.11471",beach,2016-09-17,NA,1,0,1,4.28,NA,17,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4775,"Humboldt County, CA, USA","California, USA",United States,"41.07931, -124.1454",beach,2016-09-17,NA,1,0,1,2.53,NA,7,4,3,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5061,"Humboldt County, CA, USA","California, USA",United States,"40.94232, -124.11605",beach,2016-09-17,NA,1,0,1,1.32,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4740,"Humboldt County, CA, USA","California, USA",United States,"40.99411, -124.11472",beach,2016-09-17,NA,1,0,1,1.25,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4922,"Humboldt County, CA, USA","California, USA",United States,"40.99409, -124.1147",beach,2016-09-17,NA,1,0,1,0.62,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5523,"Inyo County, CA, USA","California, USA",United States,"37.4068747, -118.5056723",beach,2016-09-17,Great Sierra River Cleanup,12,0,12,20,16,189,62,5,2,53,55,15,3,5,30,21,49,11,27,6,7,5,2,1,1,4,4,NA,1,1,NA,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
12622,"Los Angeles County, CA, USA","California, USA",United States,"34.008585109597, -118.497142985",beach,2016-09-17,Black & Veatch,5,3,8,1,1,27,11,NA,NA,11,7,1,2,NA,NA,NA,NA,NA,NA,2,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4816,"Los Angeles County, CA, USA","California, USA",United States,"34.02945, -118.524",beach,2016-09-17,Campbell Hall,2,0,2,0.35,NA,5,2,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4874,"Los Angeles County, CA, USA","California, USA",United States,"34.03505, -118.53005",beach,2016-09-17,Campbell hall Rechelle Jordan be emily,3,0,3,2.5,NA,113,72,NA,NA,13,NA,1,14,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7838,"Los Angeles County, CA, USA","California, USA",United States,"33.93092499158, -118.43632936478",beach,2016-09-17,Dockweiler State Beach,35,0,35,70,NA,452,500,12,7,198,35,26,35,28,32,3,7,9,39,11,18,6,1,NA,NA,1,2,NA,62,16,9,18,NA,NA,35,2,2,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5035,"Los Angeles County, CA, USA","California, USA",United States,"34.02919, -118.52358",beach,2016-09-17,Gay4Good,3,0,3,17.79,NA,36,8,NA,NA,7,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4921,"Los Angeles County, CA, USA","California, USA",United States,"34.03107, -118.52558",beach,2016-09-17,"Girl Scout Troop 2756 Skylar, Anna, Jane",5,0,5,0.5,NA,11,42,NA,NA,8,NA,3,6,4,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5177,"Los Angeles County, CA, USA","California, USA",United States,"34.03609, -118.67642",beach,2016-09-17,Girl Scout Troop 6086,6,0,6,2.39,NA,8,12,1,NA,NA,NA,NA,1,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7830,"Los Angeles County, CA, USA","California, USA",United States,"33.763272412005, -118.16935300827",beach,2016-09-17,Green Coast Hydroponics- Alamitos Beach,43,0,43,86,15,447,184,50,57,126,55,20,80,31,23,22,10,13,14,7,31,19,46,4,4,NA,2,1,25,6,6,10,NA,NA,44,62,1,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
5126,"Los Angeles County, CA, USA","California, USA",United States,"34.02655, -118.51633",beach,2016-09-17,Gruen Associates (Jason/Mary),2,0,2,1,NA,22,14,NA,NA,8,NA,NA,4,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50254,"Los Angeles County, CA, USA","California, USA",United States,"33.797408728596, -118.40478375356",beach,2016-09-17,Heal the Bay-Malaga Cove,17,0,17,41,14,355,254,21,57,360,34,23,279,24,50,15,17,42,29,25,17,17,20,3,21,30,8,2,30,1,30,6,NA,3,20,73,2,12,1,1,NA,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA
7905,"Los Angeles County, CA, USA","California, USA",United States,"33.862066576269, -118.40235650539",beach,2016-09-17,Hermoso Beach Pier,1,0,1,1.1,NA,12,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18094,"Los Angeles County, CA, USA","California, USA",United States,"33.757296259167, -118.14757347107",underwater,2016-09-17,Project Aware,9,0,9,59,NA,NA,106,3,NA,NA,1,NA,129,5,9,9,8,20,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7634,"Los Angeles County, CA, USA","California, USA",United States,"33.848937133208, -118.40046152472",beach,2016-09-17,Redondo Beach Harbor,2,0,2,10,2,2,2,3,2,NA,NA,NA,NA,NA,7,4,4,6,2,5,8,NA,NA,NA,NA,9,1,NA,20,1,1,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4857,"Los Angeles County, CA, USA","California, USA",United States,"34.02688, -118.51711",beach,2016-09-17,Saguaro,2,0,2,2.7,NA,12,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7771,"Los Angeles County, CA, USA","California, USA",United States,"34.008522495343, -118.49659323692",beach,2016-09-17,Santa Monica Pier,1,0,1,1,NA,3,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4985,"Los Angeles County, CA, USA","California, USA",United States,"34.03601, -118.53632",beach,2016-09-17,The Agency,15,0,15,2.5,NA,4,1,NA,NA,2,NA,2,2,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4790,"Los Angeles County, CA, USA","California, USA",United States,"33.99887, -118.48445",beach,2016-09-17,The Coleman Family,4,0,4,7,NA,252,159,5,NA,38,NA,2,12,10,3,7,1,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4869,"Los Angeles County, CA, USA","California, USA",United States,"34.03034, -118.5247",beach,2016-09-17,Tower 15 Will Rogers,1,0,1,1.13,NA,13,5,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
